company_name,category,website,small_business_overlap,automation_gap_fit,channel_trust,potential_competition,risk_notes,total_score,recommendation
Blueclone Networks,Managed IT/MSP,https://www.blueclone.com/,5,4,5,3,"Strong SMB/compliance fit; may already offer AI enablement, so frame JVT as narrow workflow implementation capacity.",16,Top-five manual review
Automate XYZ,Web/automation agency,https://automatexyz.co/,5,5,4,4,"High service overlap; likely more competitor/peer than referral partner unless JVT offers overflow or narrow document ops.",15,Top-five manual review
HitUsUpDesigns,Web/design agency,https://hitusupdesigns.com/,5,4,4,2,"SMB web/SEO client base could need post-lead intake automation; less obvious direct AI competition.",15,Top-five manual review
Blue Swan Bookkeeping,Bookkeeping,https://blueswanbookkeeping.com/small-business-bookkeeping/,5,4,4,1,"Bookkeeping clients often have admin/inbox/document workflow pain; partner story is clean if no tax-advice claims.",16,Top-five manual review
The Curchin Group,CPA/bookkeeping,https://www.curchin.com/sectors/small-businesses/,5,4,5,2,"Small-business accounting and consulting audience is strong; must avoid legal/tax advice boundaries.",16,Top-five manual review
worldwideRiches,Web/design agency,https://www.worldwideriches.com/nj-web-design.shtml,4,4,3,2,"Web strategy clients may need lead follow-up automation; verify company size and active client base.",13,Runner-up
Supporting Strategies Princeton,Bookkeeping/controller services,https://www.supportingstrategies.com/locations/princeton-nj/,4,4,4,2,"Remote bookkeeping/controller service clients may need meeting/document packets; franchise structure may complicate partner route.",14,Runner-up
JVA Firm,CPA/bookkeeping,https://www.jvafirm.com/small-business-accounting-services.htm,4,4,3,2,"Small-business accounting fit; verify public contact and whether partnership makes sense.",13,Runner-up
Elite Web Design,Web/design agency,https://elitewebdesign.us/,4,3,3,2,"Possible lead-intake channel, but needs stronger verification.",12,Research later
Business Boosters,Web/design agency,https://www.businessboosters.biz/new-jersey-web-design-agency,4,3,3,2,"B2B/corporate web support fit; may skew larger than JVT's first pilot profile.",12,Research later
Today's Business,Marketing/web agency,https://tbsmo.com/digital-marketing-services-nj/website-development/,4,3,4,3,"Marketing agency may already handle automation/CRM; better benchmark than first partner.",11,Research later
Clean Slate Tax Relief,Tax/bookkeeping,https://cleanslatetax.com/small-business-bookkeeping-nj/,4,3,3,2,"Potential document/admin pain, but tax-relief positioning needs careful boundary language.",12,Research later
Integrated Computer Services,Managed IT/MSP,https://www.icssnj.com/,4,4,5,5,"Strong AI automation overlap; better competitor benchmark than partner candidate right now.",8,Benchmark only
DigaCore,Managed IT/MSP,https://digacore.com/,4,4,4,5,"Managed AI service overlap is direct; useful positioning benchmark.",7,Benchmark only
Integris,Managed IT/MSP,https://integrisit.com/,4,4,5,5,"Large managed AI/IT provider; useful market validation, not first outreach target.",8,Benchmark only
SWK Technologies,Managed IT/MSP,https://www.swktech.com/,4,3,4,4,"Larger MSP; partner path likely formal and slower.",7,Benchmark only
PCS,Managed IT/MSP,https://www.helpmepcs.com/managed-it-services,4,3,4,3,"Potential later channel; needs proof of small-workflow partnership fit.",8,Research later
Titan Technologies,Managed IT/MSP,https://www.timefortitan.com/,4,3,4,3,"Managed services fit, but need clearer SMB/local partner angle.",8,Research later
BluePrint HelpDesk,Managed IT/MSP,https://www.blueprinthelpdesk.com/services/ai-solutions-nj,4,4,4,5,"Direct AI integration overlap; benchmark before outreach.",7,Benchmark only
IT Radix,Managed IT/MSP,https://www.cloudtango.net/msp/New-Jersey,4,3,4,3,"Needs official website/contact verification before scoring further.",8,Research later
